row__PRDLST_REPORT_NO,row__LCNS_NO,row__PRDLST_NM,row__BSSH_NM,row__PRDLST_DCNM,row__RAWMTRL_NM,
20190280077711,20190280077,1-8세트C(잇마플),(주)잇마플,즉석섭취식품,즉석섭취식품. 알가열제품. 기타가공품. 기타가공품. 조림류. 천연향신료. 기타 농산가공품,
20190280077196,20190280077,1-9세트A(잇마플),(주)잇마플,즉석섭취식품,조림류. 김치. 알가열제품. 기타가공품. 절임식품. 양념육. 양배추. 양파. 기타 농산가공품. 천연향신료,
20190280077723,20190280077,1-9세트B(잇마플),(주)잇마플,즉석섭취식품,기타가공품. 돼지고기. 빵류. 냉동당근. 냉동양파. 소스. 콩기름(대두유). 청피망. 홍피망. 가공연유. 향미유. 김치,
20190280077722,20190280077,1-9세트C(잇마플),(주)잇마플,즉석섭취식품,김치. 알가열제품. 조림류. 절임식품. 양념육. 양배추. 양파. 천연향신료. 기타 농산가공품,
201604150511131,20160415051,1. KBFS 피클링솔트(Nitritp？kelsalz),(주)호반식품,복합조미식품,정제소금. 아질산나트륨,
2016044904535,20160449045,1. 국수기행의 진짜 만능간장,농업회사법인주식회사 예담팜,소스,혼합간장. 백설탕. 양파. 소스. 청주. 당근. 정제소금. 다진마늘. 다진생강. 사과농축액. 레몬농축액. 기타가공품. 자몽종자추출물. 정제수,
2013062107511,20130621075,1. 뿌리함유 토종가시오가피 엔 열매함유 헛개나무,지리산농수산영농조합,액상차,가시오갈피뿌리. 헛개나무열매. 오리나무. 쇠무릅뿌리. 두충. 계피. 천궁뿌리줄기. 중국당귀뿌리. 칡뿌리. 진피 추출물 혼합추출물,
2013062107515,20130621075,1. 흑골자보(지리산흑염소),지리산농수산영농조합,액상차,구기자나무열매. 칡뿌리. 진피 추출물 혼합추출물. 가시오갈피열매. 둥굴레뿌리. 참당귀. 천궁농축액. 흑염소. 갯실새삼씨앗. 복분자. 오미자열매. 감초. 숙지황등혼합농축액. 사상자열매,
2019000462024,20190004620,1.1.1 세종 (1.1.1 Saison),핸드앤몰트 용산,맥주,정제수. 보리맥아. 레몬그라스줄기. 호프펠렛. 레몬껍질. 애플민트잎. 효모. 염화칼슘. 황산칼슘. 젖산. 황산마그네슘. 규소수지. 이산화탄소,
2019047316145,20190473161,1.2 석류콜라겐,(주)휴온스푸디언스금산3공장,과.채가공품,혼합제제. 기타가공품. 석류농축액. 히비스커스추출농축액. 크랜베리혼합농축액. 기타가공품. 히알루론산. 비타민 C,
20170441083222,20170441083,1.4파우더,주식회사 레인보우에프에스,곡류가공품,밀가루. 전분. 산화전분. 양파분말. 후추가루. 강황가루,
2011001520549,20110015205,1.5도맥주,세븐브로이맥주 주식회사,맥주,정제수. 맥아. 이산화탄소. 효모. 호프펠렛. 혼합제제. 셀룰라아제. 효모추출물,
2016000400239,20160004002,1.5프로,(주)고릴라브루잉컴퍼니,맥주,이산화탄소. 정제수. 건조효모. 호프펠렛. 맥아. 밀맥아분말. 귀리분말,
