row__PRDLST_REPORT_NO,row__LCNS_NO,row__PRDLST_NM,row__BSSH_NM,row__PRDLST_DCNM,row__RAWMTRL_NM,,,,,,
20170549035216,20170549035,(99핫도그)크리스피 치즈 반반 핫도그,주식회사키큰아이,빵류,쌀가루. 난백액. 기타가공품. 정제수. 가공치즈. 소시지. 기타가공품. 콩기름(대두유). 가공연유,,,,,,
20170549035215,20170549035,(99핫도그)크리스피핫도그,주식회사키큰아이,빵류,난백액. 콩기름(대두유). 기타가공품. 소시지. 기타가공품. 정제수. 쌀가루. 가공연유,,,,,,
19950129282642,19950129282,(BG)핫도그프리믹스,사조동아원(주) 부산공장,기타가공품,혼합제제. 혼합분유. 정제소금. 탄산수소나트륨. 옥수수전분. 글루코노-δ-락톤. 기타가공품. 백설탕. 밀가루,,,,,,
2015041503823,20150415038,(BLS)리그레인 생우동면(냉동),(주)이비가에프앤비,생면,중력분. 정제수. 곡류가공품. 식품첨가물혼합제제. 곡류가공품. 정제소금. 주정. 옥수수전분. 곡류가공품,,,,,,
2015041503821,20150415038,(BLS)사누끼생우동면(냉동),(주)이비가에프앤비,생면,옥수수전분. 주정. 정제소금. 곡류가공품. 식품첨가물혼합제제. 곡류가공품. 정제수. 중력분,,,,,,
2023050114960,20230501149,(CD)디트로이트피자도우,(주)닥터브레드,빵류,정제수. 효모. 설탕. 정제소금. 밀가루. 밀가루. 밀가루. 기타식용유지,,,,,,
198503110016072,19850311001,(CHANG GO 1974)껍데기용소스,태원식품산업(주),소스,파라옥시안식향산에틸. 혼합제제. 정제수. 건생강분말. 건마늘분말. 양파분말. 흑후추가루. 양조간장. 백설탕. 액상과당. 소스류. 양파. 마늘. 복합조미식품. 사과농축액. L-글루타민산나트륨,,,,,,
198503110016096,19850311001,(CHANG GO 1974)양념갈비용소스,태원식품산업(주),소스,갈색설탕. 혼합간장. 소주. L-글루타민산나트륨. 흑후추. 파라옥시안식향산에틸. 정제수,,,,,,
198503110016070,19850311001,(CHANG GO 1974)장아찌용소스,태원식품산업(주),소스,혼합간장. 갈색설탕. 발효식초. 정제수,,,,,,
198503110019769,19850311001,(DELI)고추잡채용볶음,태원식품산업(주),식육함유가공품,과채가공품류. 돼지고기. 과채가공품. 소스. 향미유. 마늘. 대파. 향미유. 설탕. 소스. 변성전분. 향미유. 정제소금. L-글루탐산나트륨. 파프리카추출색소. 소스. 참기름. 복합조미식품. 소스. 천연향료(Pepper. black). 잔탄검. 정제수,,,,,,
